23.3,10.97,16.29
23.4,10.62,16.82
23.5,10.88,17.09
23.6,11.08,17.08
23.7,11.22,16.81
23.8,11.27,16.52
23.9,11.27,16.2
24.0,11.35,15.89
24.1,11.1,15.72
24.2,10.99,15.79
24.3,11.17,15.69
24.4,11.08,15.75
24.5,11.03,15.88
24.6,11.19,15.91
24.7,11.47,15.73
24.8,11.47,15.39
24.9,11.38,15.11
25.0,11.45,14.68
25.1,11.56,13.95
25.2,11.28,13.15
25.3,10.98,12.46
25.4,10.65,11.74
25.5,10.12,11.13
25.6,9.44,10.53
25.7,8.74,10.2
25.8,7.87,10.03
25.9,6.96,9.89
26.0,6.19,9.83
26.1,5.48,9.88
26.2,4.91,9.89
26.3,4.22,9.95
26.4,3.95,9.95
26.5,3.87,9.96
26.6,3.82,9.93
26.7,3.75,9.84
26.8,3.56,9.83
26.9,3.65,9.67
27.0,3.66,9.45
27.1,3.46,9.4
27.2,3.3,9.11
27.3,3.12,8.77
27.4,3.1,8.29
27.5,3.14,7.98
27.6,3.02,7.61
27.7,3.07,7.22
27.8,3.3,7.18
27.9,3.44,7.15
28.0,3.66,7.12
28.1,3.78,6.97
28.2,4.13,6.92
28.3,4.46,6.83
28.4,4.48,6.54
28.5,4.83,6.26
28.6,5.25,6.01
28.7,5.9,5.67
28.8,6.61,5.38
28.9,7.53,4.97
29.0,8.65,4.64
29.1,10.04,4.49
29.2,11.06,4.43
29.3,11.92,4.63
29.4,13.18,4.86
29.5,13.96,5.43
29.6,14.65,6.22
29.7,15.11,6.83
29.8,15.61,7.3
29.9,16.15,7.54
30.0,16.22,7.64
30.1,16.55,7.46
30.2,16.67,7.18
30.3,16.39,7.1
30.4,16.31,7.28
30.5,15.83,7.46
30.6,15.22,7.69
30.7,14.63,7.95
30.8,14.51,7.99
30.9,14.14,8.03
31.0,13.75,7.98
31.1,13.68,7.99
31.2,13.84,8.09
31.3,13.83,8.16
31.4,13.63,8.38
31.5,13.9,8.52
31.6,14.36,8.71
31.7,14.39,8.52
31.8,14.76,8.74
31.9,15.34,8.93
32.0,15.93,9.12
32.1,16.63,9.14
32.2,17.2,8.95
32.3,18.08,9.08
32.4,18.36,8.62
32.5,18.73,8.07
32.6,19.05,7.35
32.7,19.32,6.53
32.8,19.5,5.74
32.9,19.58,4.88
33.0,19.9,4.15
33.1,20.23,3.53
33.2,20.46,3.06
33.3,20.53,2.67
33.4,20.56,2.39
33.5,20.58,2.22
33.6,20.37,2.02
33.7,19.91,1.84
33.8,19.52,1.76
33.9,19.24,1.73
34.0,18.77,1.76
34.1,18.5,1.75
34.2,18.46,1.81
34.3,18.43,1.82
34.4,18.36,1.77
34.5,18.38,1.83
34.6,18.67,1.87
34.7,19.02,1.97
34.8,19.29,2.05
34.9,19.94,2.29
35.0,20.39,2.47
35.1,20.95,2.54
35.2,21.32,2.75
35.3,21.52,2.93
35.4,21.65,3.09
35.5,21.51,3.07
35.6,21.49,3.14
35.7,21.31,3.26
35.8,21.38,3.26
35.9,21.42,3.26
36.0,21.61,3.31
36.1,21.69,3.41
36.2,21.76,3.29
36.3,22.01,3.25
36.4,22.06,3.21
36.5,22.11,3.18
36.6,22.06,3.18
36.7,22.19,3.1
36.8,22.5,3.29
36.9,22.2,3.29
37.0,22.22,3.28
37.1,22.51,3.29
37.2,23.04,3.39
37.3,23.69,3.63
37.4,24.14,3.68
37.5,25.18,3.83
37.6,26.19,3.99
37.7,27.44,4.21
37.8,28.51,4.09
37.9,29.26,3.85
38.0,30.2,3.66
38.1,31.05,3.52
38.2,32.04,3.2
38.3,32.76,2.8
38.4,33.5,2.57
38.5,34.49,2.37
38.6,35.39,2.18
38.7,36.2,2.0
38.8,36.89,2.0
38.9,37.39,1.96
39.0,37.9,2.0
39.1,38.39,2.08
39.2,39.04,2.2
39.3,39.78,2.24
39.4,40.36,2.28
39.5,40.96,2.46
39.6,41.49,2.71
39.7,42.02,2.9
39.8,42.51,3.22
39.9,42.84,3.64
40.0,43.33,4.06
40.1,43.56,4.29
40.2,43.68,4.48
40.3,43.74,4.75
40.4,43.7,4.94
40.5,43.58,4.95
40.6,43.16,4.88
40.7,42.94,4.88
40.8,42.88,4.85
40.9,42.91,4.78
41.0,42.76,4.59
41.1,42.82,4.59
41.2,43.02,4.61
41.3,43.3,4.72
41.4,43.49,4.73
41.5,43.66,4.68
41.6,43.94,4.72
41.7,44.5,4.69
41.8,44.93,4.64
41.9,45.17,4.6
42.0,45.4,4.62
42.1,45.67,4.63
42.2,46.14,4.51
42.3,46.48,4.35
42.4,46.78,4.26
42.5,47.23,4.17
42.6,47.77,4.11
42.7,48.19,4.07
42.8,48.54,4.08
42.9,48.83,4.12
43.0,49.38,4.09
43.1,49.88,4.06
43.2,50.38,4.1
43.3,50.85,4.13
43.4,51.27,4.15
43.5,51.54,4.23
43.6,51.63,4.27
43.7,51.65,4.13
43.8,51.53,3.91
43.9,51.36,3.68
44.0,51.13,3.62
44.1,51.0,3.54
44.2,50.53,3.6
44.3,50.17,3.72
44.4,49.51,3.89
44.5,48.86,4.12
44.6,47.8,4.15
44.7,46.38,4.27
44.8,45.21,4.49
44.9,44.08,4.75
45.0,43.22,4.9
45.1,42.46,5.02
45.2,42.06,5.08
45.3,41.93,4.99
45.4,42.12,4.74
45.5,42.07,4.58
45.6,42.13,4.45
45.7,42.08,4.46
45.8,42.18,4.7
45.9,42.2,5.04
46.0,41.94,5.34
46.1,41.9,5.51
46.2,41.66,5.73
46.3,41.57,5.87
46.4,41.46,5.81
46.5,41.45,5.64
46.6,41.59,5.68
46.7,41.71,5.86
46.8,41.81,6.02
46.9,41.93,6.12
47.0,42.12,6.24
47.1,42.23,6.43
47.2,42.21,6.52
47.3,42.26,6.54
47.4,42.55,6.66
47.5,42.54,6.84
47.6,42.5,7.11
47.7,42.44,7.43
47.8,42.49,7.67
47.9,42.51,7.83
48.0,42.3,7.96
48.1,42.24,8.08
48.2,42.2,8.21
48.3,42.06,8.12
48.4,42.05,8.12
48.5,42.06,8.22
48.6,42.18,8.24
48.7,42.31,8.22
48.8,42.2,8.14
48.9,42.22,8.26
49.0,42.34,8.34
49.1,42.25,8.35
49.2,42.23,8.25
49.3,42.28,8.2
49.4,42.48,8.2
49.5,42.59,8.21
49.6,42.47,8.12
49.7,42.49,8.11
49.8,42.42,8.21
49.9,42.52,8.24
50.0,42.47,8.3
50.1,42.6,8.3
50.2,42.69,8.32
50.3,42.82,8.29
50.4,42.83,8.31
50.5,42.78,8.36
50.6,42.76,8.37
50.7,42.79,8.37
50.8,42.72,8.49
50.9,42.56,8.61
51.0,42.71,8.65
51.1,42.66,8.74
51.2,42.49,8.95
51.3,42.28,9.25
51.4,42.06,9.39
51.5,42.01,9.47
51.6,42.01,9.54
51.7,41.91,9.63
51.8,41.82,9.54
51.9,41.79,9.5
52.0,41.82,9.46
52.1,41.74,9.63
52.2,41.51,9.76
52.3,41.35,9.87
52.4,41.49,10.03
52.5,41.6,10.05
52.6,41.82,10.09
52.7,42.05,9.97
52.8,42.27,9.92
52.9,42.47,9.83
53.0,42.61,9.74
53.1,42.68,9.71
53.2,42.66,9.7
53.3,42.65,9.72
53.4,42.73,9.72
53.5,42.87,9.76
53.6,42.94,9.9
53.7,42.87,9.95
53.8,42.94,9.95
53.9,42.91,10.0
54.0,42.73,10.07
54.1,42.49,10.12
54.2,42.41,10.07
54.3,42.38,10.04
54.4,42.34,10.02
54.5,42.39,9.97
54.6,42.37,9.96
54.7,42.52,9.93
54.8,42.4,9.97
54.9,42.42,10.02
55.0,42.32,10.09
55.1,42.24,10.13
55.2,42.27,10.15
55.3,42.16,10.14
55.4,42.25,10.06
55.5,42.46,9.97
55.6,42.52,9.94
55.7,42.62,9.88
55.8,42.55,9.81
55.9,42.64,9.69
56.0,42.68,9.6
56.1,42.53,9.55
56.2,42.62,9.51
56.3,42.7,9.55
56.4,42.96,9.73
56.5,43.23,10.0
56.6,43.31,10.19
56.7,43.41,10.5
56.8,43.44,10.94
56.9,43.44,11.46
57.0,43.36,12.06
57.1,43.22,12.68
57.2,43.44,13.6
57.3,43.5,14.47
57.4,43.52,15.28
57.5,43.31,16.21
57.6,43.07,17.04
57.7,42.78,17.82
57.8,42.15,18.45
57.9,41.47,18.93
58.0,40.78,19.2
58.1,40.17,19.21
58.2,39.6,19.26
58.3,39.08,19.23
58.4,38.62,19.04
58.5,38.4,18.85
58.6,38.18,18.66
58.7,38.26,18.48
58.8,38.27,18.09
58.9,38.22,17.81
59.0,38.27,17.52
59.1,38.02,17.54
59.2,37.93,17.48
59.3,37.73,17.45
59.4,37.64,17.43
59.5,37.6,17.41
59.6,37.48,17.52
59.7,37.66,17.38
59.8,37.8,17.4
59.9,37.71,17.47
